,custo_bic,custo_aic,custo_obts,countrycode
0,14.395928212370524,14.395928212370524,6.2238722141177805,ABW
1,inf,inf,37.02685365485669,AGO
2,1.8058839253965548e+68,inf,19.890508580053897,AIA
3,28.307314202549083,28.876557404721083,14.656743480381326,ALB
4,inf,inf,40.19369012318343,ARE
5,34.1187027884853,48.971291706372,18.553589014745803,ARG
6,49.59894709762882,49.59894709762882,5.6542551948001805,ARM
7,inf,inf,25.40396725752551,ATG
8,5.137065771589988,5.0666964221173005,26.271659993420478,AUS
9,4.498586159448381,4.5293652421593,3.8061390668071153,AUT
10,13943065409087.984,inf,15.146282847458565,AZE
11,31.440371595480322,34.08364533389332,-92.64492581326371,BDI
12,4.873458621243998,5.042001365428228,9.821456570171845,BEL
13,12.513862524430452,13.096376195079884,-66.70851100174701,BEN
14,61.397870608394854,66.52340439987002,134.38498315615598,BFA
15,19.459630175932286,19.459630175932286,-60.167328152979934,BGD
16,57.616185791673736,57.616185791673736,15.761364243252093,BGR
17,112.92913669924509,112.92913669924509,27.79795803302872,BHR
18,720252693121.5059,720252693121.5059,35.536862026893075,BHS
19,9.8183463436246e+46,9.8183463436246e+46,14.113475838488917,BIH
20,51.51029012077009,51.51029012077009,14.617437642473293,BLR
21,49.09986177056109,49.09986177056109,29.08262524113383,BLZ
22,4.95313839470688,4.95313839470688,9.114681806148301,BMU
23,11.59692136155308,11.619553487634304,46.67441910340785,BOL
24,11.800606830733852,11.800606830733852,7.752654692831778,BRA
25,119.64918307029961,119.64918307029961,55.088436601029144,BRB
26,8.55186046937095e+37,8.55186046937095e+37,79.94386039999584,BRN
27,93.25864021923485,114.63720913875912,19.849821212708136,BTN
28,40.87552809296611,,10.34990220253851,BWA
29,21.988570818986553,24.080913799997884,-79.83596614831568,CAF
30,3.1095179571909215,,119.14306097241747,CAN
31,3.1492847454598794,,-12.068378829703022,CHE
32,27.617745183317655,27.617745183317655,28.90812335850829,CHL
33,14.363222625713522,,11.867164914020462,CHN
34,30.909732450371187,30.909732450371187,141.09585947628304,CIV
35,16.931785439616263,18.665948169808665,-3927.3962715095445,CMR
36,30.261151610218207,35.9844518784038,-25.489291253322566,COD
37,99.54369498045028,99.54369498045028,49.66872935077461,COG
38,7.007907532442048,7.007907532442048,33.039978955533336,COL
39,30.059661548441397,100.00568725450454,61.893244368499744,COM
40,21.34282029235619,21.34282029235619,11.514755932156877,CPV
41,15.93192001543271,15.93192001543271,32.29172359272732,CRI
42,15.25531181154447,15.25531181154447,-1.5843614423877703,CUW
43,12.956145379547369,13.251534890280347,45.191066468195295,CYM
44,35.167628691133366,36.66545885286339,11.032029778371056,CYP
45,107.25611831940647,107.25611831940647,28.20249796402293,CZE
46,4.78786081498066,5.008081711223156,3.2402429684760183,DEU
47,inf,inf,49.34487713176889,DJI
48,49.63079037141141,49.63079037141141,13.92393707100126,DMA
49,5.2031079911304845,5.408128387961031,28.74511955490996,DNK
50,29.175407792740195,32.63965959773365,15.705471603857966,DOM
51,154.050057418515,2.2512108665638735e+21,33.92040849373212,DZA
52,11.335994679523598,11.335994679523598,29.43568825494497,ECU
53,27.083320234760343,27.083320234760343,8.842062017186882,EGY
54,13.073344863784687,13.073344863784687,8.716358404464621,ESP
55,126.17644635406138,126.17644635406138,18.278501380757557,EST
56,173.29405725189545,173.29405725189545,82.9208109011766,ETH
57,6.617310451685832,6.658989789421832,6.041364850727784,FIN
58,24.14694301771465,29.648681205309945,18.36667544339612,FJI
59,3.944173691891506,3.944173691891506,4.991123394355487,FRA
60,783.0652225044269,3779.574371848632,28.82329010005068,GAB
61,4.665460637645968,4.817345248782168,23.99140026891329,GBR
62,inf,inf,28.081297964908046,GEO
63,38.98472910260287,38.98472910260287,86.53931573714951,GHA
64,16.042725702561867,16.51681099692075,-9.349259582232875,GIN
65,118.15274211225572,118.15274211225572,115.52379699982988,GMB
66,126.09401847946882,145.82183968468348,28.998260861490728,GNB
67,inf,inf,22.919285521383458,GNQ
68,6.959297111427332,7.953795427626709,5.075258190796887,GRC
69,34.609750901436584,87.0066834549273,10.556952506910838,GRD
70,3.6626315433751166,3.6626315433751166,-369.6916144044515,GTM
71,253.87266701594734,253.87266701594734,21.65864033275,GUY
72,8.316683959650994,8.962297650552141,3.889472013401319,HKG
73,6.7755669507912675,7.4055893395748695,-21.95412844371292,HND
74,4.14739413685507e+48,4.14739413685507e+48,24.583306975287698,HRV
75,23.605113082090725,77.6047513360866,-622.7866281601574,HTI
76,9.670702434295396,10.247671026693883,6.11271925109509,HUN
77,14.169337042120933,17.132391762359656,8.238316426093466,IDN
78,,,28.513239016405844,IND
79,7.960127692602903,8.504086837381063,13.94236141714556,IRL
80,46.10609888094102,46.10609888094102,25.65141588947992,IRN
81,inf,inf,35.47917808012204,IRQ
82,27.661370787181273,32.30749930331294,20.778668360544106,ISL
83,8.61560697807695,8.812030483336187,7.7176218441537365,ISR
84,5.3499168121325935,5.3499168121325935,4.130192150178953,ITA
85,17.908136395383135,17.908136395383135,45.57156685995846,JAM
86,87.58847406342065,,21.186035106490543,JOR
87,7.412016374849895,7.412016374849895,3.21895759922757,JPN
88,210.14554450362897,470664030.8359911,26.618183848061744,KAZ
89,25.807708601392456,25.807708601392456,-69.27794271925426,KEN
90,8.241473405907009e+45,5.556364876549614e+67,70.5371740702472,KGZ
91,34.286493481125206,,130.89610178332165,KHM
92,379.0944410967116,3695.696058570536,15.198795905967955,KNA
93,12.136396160959585,14.800275585600865,4.757286189603334,KOR
94,9.326193109007395e+49,inf,28.733368876316113,KWT
